NAME,X-min,Y-min,Z-min,,,,
360,-1.346,-6.941,148,1426563,2658395,2658396,2657671
558,-4.205,-6.665,113,2657671,2658396,2733525,2658389
561,-1.145,-3.622,148,1426563,2657857,2658396,2658395
563,-9.462,1.392,148,1426269,1426791,2784133,2658996
565,-3.416,5.514,113,1426269,2658996,2659018,2659001
566,-0.822,2.077,148,1455344,2659445,2659001,2657948
567,-0.629,4.987,148,1426269,2659001,2659445,1455344
593,-9.924,-6.486,148,1426791,2657671,2658389,2784133
594,-4.387,2.353,148,3320624,2659001,3007369,2774054
629,-4.663,-4.644,148,2658396,2658402,3321504,3007370
650,-4.117,-0.555,148,1936038,2657948,2865445,2657857
