TAG,X-min,Y-min,Z-min,Normal-x,Normal-y,length,width
1426269,-9.436,8.343,0,0.06,0.998,13.55997174,0.46
1426563,3.126,-7.048,0,0.998,-0.06,6.75249828,0.46
1426791,-10.403,-6.476,0,-0.998,0.06,15.8,0.46
1455344,3.668,1.969,0,0.998,-0.06,6.91000172,0.46
1936038,3.232,-0.359,0,0.998,-0.06,2.355,0.395
2657671,-9.943,-7.26,0,0.06,0.998,13.31000134,0.32
2657852,-6.239,0.062,0,-0.998,0.06,2.075,0.255
2657855,-5.864,1.961,0,0.06,0.998,2.06249134,0.255
2657857,0.39,-0.827,0,-0.06,-0.998,3.44181531,0.255
2657948,-0.327,1.822,0,0.06,0.998,3.99250134,0.255
2657952,-4.231,2.216,0,-0.998,0.06,0.3675,0.255
2658185,3.443,1.575,0,-0.06,-0.998,0.48202159,0.395
2658389,-4.444,-6.5,0,-0.998,0.06,4.46999828,0.24
2658395,-1.152,-3.737,0,0.06,0.998,4.77252159,0.115
2658396,-1.46,-6.672,0,-0.998,0.06,6.01999828,0.115
2658402,-4.785,-2.296,0,0.06,0.998,2.47500515,0.115
2658996,-3.794,4.329,0,-0.998,0.06,4.7777,0.24
2659001,-0.902,2.61,0,-0.998,0.06,6.27000171,0.115
2659010,-4.4,4.116,0,-0.06,-0.998,2.47495271,0.115
2659018,-1.788,6.4,0,-0.06,-0.998,1.115,0.115
2659445,-0.635,4.872,0,-0.06,-0.998,4.77252284,0.115
2733432,-4.023,-3.579,0,0.06,0.998,1.81250515,0.115
2733433,-2.458,-4.699,0,0.998,-0.06,3.0575,0.115
2733525,-2.343,-4.759,0,0.06,0.998,1.115,0.115
2756043,-5.984,-0.039,0,-0.06,-0.998,1.91499134,0.255
2756124,-4.382,-0.276,0,-0.998,0.06,0.365,0.255
2774054,-4.4,4.116,0,-0.06,-0.998,2.47495271,0.115
2774056,-3.484,5.399,0,-0.06,-0.998,1.81245271,0.115
2774057,-1.965,3.51,0,0.998,-0.06,3.01250172,0.115
2784133,-9.478,1.133,0,0.06,0.998,2.71964086,0.255
2865445,-4.302,-0.286,0,0.998,-0.06,2.38,0.175
3007369,-4.521,2.241,0,-0.998,0.06,2.20480172,0.115
3007370,-4.778,-2.04,0,-0.998,0.06,2.205,0.115
3007945,-3.877,-4.387,0,-0.998,0.06,0.9025,0.09
3014914,-3.337,5.598,0,0.998,-0.06,1.02520172,0.09
3015758,-0.484,2.235,0,0.998,-0.06,0.2475,0.195
3126827,3.219,-0.775,0,0.06,0.998,0.32752674,0.395
3162662,-3.423,6.466,0,-0.06,-0.998,1.02,0.115
3245751,-7.02,1.954,0,0.06,0.998,0.925,0.06
3245755,-6.969,0.482,0,0.06,0.998,0.815,0.06
3251764,-7.061,0.986,0,-0.998,0.06,0.54,0.12
3282582,-6.914,1.39,0,0.06,0.998,0.88584662,0.09
3282583,-6.941,0.941,0,0.06,0.998,0.94285914,0.09
3320624,-0.836,2.396,0,0.06,0.998,0.45999619,0.195
3320625,-0.935,2.086,0,-0.998,0.06,0.4325,0.195
3320626,-4.217,2.273,0,0.06,0.998,3.39615974,0.255
3320627,-0.74,2.062,0,-0.06,-0.998,0.53884892,0.175
3321501,0.179,-0.905,0,0.998,-0.06,0.335,0.195
3321502,-0.915,-0.893,0,-0.06,-0.998,1.29205654,0.195
3321503,-1.11,-0.827,0,-0.998,0.06,0.335,0.195
3321504,-4.132,-0.551,0,-0.06,-0.998,3.68321628,0.255
3322988,-4.077,-4.381,0,0.06,0.998,0.365,0.09
3465749,-7.117,1.387,0,0.998,-0.06,0.31249828,0.08
3465839,-7.028,1.48,0,-0.06,-0.998,1.0425,0.08
3470037,-7.103,1.613,0,-0.998,0.06,0.42500172,0.06
3703127,-7.088,0.527,0,-0.998,0.06,0.43,0.12
91426269,,,,,,,
91426563,,,,,,,
91426791,,,,,,,
91455344,,,,,,,
91936038,,,,,,,
92657671,,,,,,,
92657852,,,,,,,
92657855,,,,,,,
92657857,,,,,,,
92657948,,,,,,,
92657952,,,,,,,
92658185,,,,,,,
92658389,,,,,,,
92658395,,,,,,,
92658396,,,,,,,
92658402,,,,,,,
92658996,,,,,,,
92659001,,,,,,,
92659010,,,,,,,
92659018,,,,,,,
92659445,,,,,,,
92733432,,,,,,,
92733433,,,,,,,
92733525,,,,,,,
92756043,,,,,,,
92756124,,,,,,,
92774054,,,,,,,
92774056,,,,,,,
92774057,,,,,,,
92784133,,,,,,,
92865445,,,,,,,
93007369,,,,,,,
93007370,,,,,,,
93007945,,,,,,,
93014914,,,,,,,
93015758,,,,,,,
93126827,,,,,,,
93162662,,,,,,,
93245751,,,,,,,
93245755,,,,,,,
93251764,,,,,,,
93282582,,,,,,,
93282583,,,,,,,
93320624,,,,,,,
93320625,,,,,,,
93320626,,,,,,,
93320627,,,,,,,
93321501,,,,,,,
93321502,,,,,,,
93321503,,,,,,,
93321504,,,,,,,
93322988,,,,,,,
93465749,,,,,,,
93465839,,,,,,,
93470037,,,,,,,
93703127,,,,,,,
